epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,3059.19,0.44826,0.3544,0.30561,1.01761,0.9933,0.94286,0.95901,0.94688,0.99187,0.9415,0.95848,0.94753,0.15032,0.51181,0.2605,0.82158,0.006271,0.006271,0.006271
115,3085.79,0.45389,0.34883,0.30255,1.02274,0.9966,0.94286,0.96313,0.94657,0.99516,0.9415,0.96014,0.94575,0.15488,0.54794,0.2196,0.82236,0.006238,0.006238,0.006238
116,3112.32,0.46523,0.35232,0.31179,1.02695,0.99712,0.94323,0.96258,0.94488,0.99569,0.94187,0.95919,0.94616,0.16048,0.50749,0.24054,0.83131,0.006205,0.006205,0.006205
117,3138.87,0.45819,0.35395,0.31095,1.02304,0.99449,0.9483,0.97084,0.95279,0.99306,0.94694,0.96585,0.95276,0.1572,0.56115,0.22532,0.82798,0.006172,0.006172,0.006172
118,3165.46,0.45172,0.34457,0.3034,1.02172,0.99318,0.9483,0.97136,0.95444,0.99176,0.94694,0.96862,0.95405,0.13948,0.55293,0.22405,0.81355,0.006139,0.006139,0.006139
119,3192.02,0.45978,0.35272,0.31173,1.0235,0.99159,0.9483,0.97033,0.95268,0.99016,0.94694,0.96914,0.95447,0.1562,0.54282,0.17669,0.83266,0.006106,0.006106,0.006106
120,3218.83,0.45637,0.34991,0.30098,1.01932,0.99234,0.94422,0.96537,0.94782,0.99091,0.94286,0.96308,0.94853,0.15673,0.57792,0.22191,0.83551,0.006073,0.006073,0.006073
121,3245.64,0.45123,0.34731,0.30629,1.02139,0.99701,0.94422,0.96333,0.94556,0.99556,0.94286,0.96081,0.94518,0.15361,0.56112,0.20116,0.82674,0.00604,0.00604,0.00604
122,3272.26,0.44935,0.37349,0.30067,1.01799,0.99719,0.94286,0.96458,0.9473,0.99575,0.9415,0.9617,0.94516,0.15761,0.56275,0.20059,0.8282,0.006007,0.006007,0.006007
123,3298.99,0.45023,0.35484,0.29908,1.01544,0.99569,0.94243,0.96692,0.9501,0.99425,0.94107,0.96337,0.94992,0.14873,0.51034,0.1814,0.82365,0.005974,0.005974,0.005974
124,3325.57,0.45706,0.35302,0.3074,1.02779,0.99655,0.94422,0.97423,0.95441,0.99511,0.94286,0.97305,0.95494,0.15673,0.55286,0.1743,0.82694,0.005941,0.005941,0.005941
125,3352.07,0.46146,0.3423,0.3083,1.02668,0.99428,0.94538,0.98212,0.95818,0.99285,0.94402,0.97957,0.9596,0.16267,0.53973,0.17577,0.83276,0.005908,0.005908,0.005908
126,3378.66,0.4549,0.33843,0.30708,1.0203,0.99285,0.94511,0.97469,0.95718,0.99142,0.94375,0.97357,0.95829,0.1738,0.54861,0.19182,0.83978,0.005875,0.005875,0.005875
127,3405.2,0.43953,0.34268,0.30088,1.01428,0.99569,0.94369,0.97184,0.95354,0.99568,0.94095,0.97004,0.95502,0.16069,0.55486,0.18695,0.82856,0.005842,0.005842,0.005842
